,0
0,85046
1,70156
2,75111
3,76807
4,75980
5,86434
6,81332
7,83542
8,120283
9,120862
10,90210
11,91381
12,93387
13,98913
14,108719
15,104743
16,105958
17,109034
18,109412
19,110055
20,121087
21,120511
22,119274
23,128589
24,124481
25,126389
26,128207
27,130790
28,132168
29,202601
30,135872
31,133737
32,163359
33,154806
34,153728
35,201943
36,157530
37,158091
38,160526
39,162825
40,166458
41,178355
42,175026
43,174306
44,173817
45,202638
46,202674
47,201150
48,184380
49,186462
50,198342
51,193178
52,196455
53,205867
54,199546
55,229397
56,203583
57,205460
58,365810
59,220258
60,216286
61,367769
62,219623
63,364715
