,0
0,797265
1,428137
2,678594
3,683387
4,453877
5,486948
6,679325
7,653217
8,611652
9,608233
10,667607
11,722481
12,319251
13,753648
14,322462
15,322375
16,321758
17,322689
18,323975
19,332670
20,24606
21,323434
22,326558
23,329020
24,325941
25,326677
26,328552
27,327351
28,336427
29,171579
30,274151
31,172933
32,203640
33,200250
34,205456
35,207365
36,370220
37,223966
38,212022
39,215094
40,218191
41,367070
42,227343
43,375879
44,240669
45,377872
46,383399
47,368254
48,368789
49,289971
50,287124
51,395764
52,388266
53,373097
54,284588
55,290070
56,277745
57,369872
58,368729
59,286770
60,286135
61,295180
62,382206
63,420050
