,0
0,608658
1,812436
2,830428
3,901404
4,323898
5,924134
6,327460
7,75612
8,133247
9,327221
10,333563
11,140753
12,101002
13,168476
14,340497
15,386913
16,323650
17,399888
18,329422
19,417893
20,609965
21,471743
22,610425
23,590387
24,626656
25,611327
26,610751
27,633516
28,707512
29,158398
30,738328
31,154452
32,211830
33,186321
34,188619
35,231053
36,213052
37,181893
38,211633
39,196607
40,205920
41,217276
42,238047
43,218467
44,208143
45,208408
46,212909
47,225054
48,236779
49,404134
50,393330
51,411780
52,374358
53,371907
54,385091
55,235453
56,388856
57,386047
58,247430
59,247214
60,270698
61,244340
62,373479
63,384125
