,0
0,635393
1,571715
2,676639
3,324560
4,938415
5,315637
6,319961
7,593677
8,594547
9,596698
10,596876
11,595459
12,598260
13,602449
14,598650
15,174394
16,599180
17,157199
18,156959
19,156672
20,159079
21,165077
22,161956
23,161235
24,176523
25,159536
26,160041
27,510150
28,164473
29,230350
30,939785
31,232867
32,256442
33,271460
34,262004
35,359252
36,357718
37,280166
38,363746
39,368173
40,361547
41,318643
42,376455
43,316687
44,318628
45,322690
46,325456
47,331596
48,374352
49,696125
50,696802
51,703189
52,693245
53,384791
54,385847
55,389893
56,394600
57,397437
58,697977
59,414325
60,709603
61,414292
62,410259
63,697772
