,0
0,83332
1,348337
2,387561
3,431638
4,475438
5,543981
6,628619
7,679308
8,729254
9,860064
10,894529
11,958914
12,979931
13,24140
14,127954
15,81979
16,207627
17,254398
18,285935
19,348969
20,383052
21,603366
22,486058
23,451910
24,604349
25,604066
26,604080
27,670438
28,685039
29,228136
30,601648
31,226589
32,267380
33,246173
34,252013
35,254187
36,261524
37,362722
38,275562
39,373654
40,371996
41,301993
42,290418
43,294453
44,364335
45,304339
46,319624
47,329372
48,334250
49,336889
50,351522
51,339763
52,366426
53,346160
54,366106
55,358353
56,379128
57,380496
58,387342
59,707435
60,689170
61,392180
62,395948
63,392663
